Last Updated Date,Last Updated Date일,Employer,Doing Business As,Account Status,Opted into E-Verify+,Date Enrolled,Date Terminated,Workforce Size,Hiring Site Locations,Number of Hiring Sites,레코드 수
2026. 2. 27.,2026년 2월 27일,"Corellium, Inc.",,Open,No,02/27/2026,,20 to 99,FL,1,1
2026. 2. 27.,2026년 2월 27일,Counselor Holding Inc.,,Open,No,02/27/2026,,10 to 19,MN,1,1
2026. 2. 27.,2026년 2월 27일,CS HOSPITALITY LLC,COMFORT SUITES MYRTLE BEACH CENTRAL,Open,Yes,02/27/2026,,10 to 19,SC,1,1
2026. 2. 27.,2026년 2월 27일,Culebra Super Meat Market,Culebra Super Meat Market,Open,Yes,02/27/2026,,20 to 99,TX,6,1
2026. 2. 27.,2026년 2월 27일,"Cybernetics and Services, LLC",,Open,No,02/27/2026,,100 to 499,FL,1,1
2026. 2. 27.,2026년 2월 27일,Davidson and Smith CPAs,,Open,Yes,02/03/2026,,5 to 9,CA,1,1
2026. 2. 27.,2026년 2월 27일,Delmar AH Operations Associates LLC,,Open,No,02/27/2026,,500 to 999,NY,1,1
2026. 2. 27.,2026년 2월 27일,Dexvion IT Inc,,Open,No,02/27/2026,,20 to 99,GA,1,1
2026. 2. 27.,2026년 2월 27일,Discern Science International Inc,,Open,No,02/27/2026,,100 to 499,AZ,1,1
2026. 2. 27.,2026년 2월 27일,DJABOUTBUSINESS PRODUCTIONS,DJABOUTBUSINESS PRODUCTIONS,Open,Yes,02/27/2026,,20 to 99,GA,1,1
2026. 2. 27.,2026년 2월 27일,Dove CoPack Mass LLC,,Open,No,02/17/2026,,20 to 99,MA,1,1
2026. 2. 27.,2026년 2월 27일,Downtown Dental PC,Downtown Dental PC,Open,Yes,02/27/2026,,20 to 99,CT,1,1
2026. 2. 27.,2026년 2월 27일,"E.F. WINSLOW PLUMBING & HEATING CO., INC.",E.F. WINSLOW HOME SERVICES,Open,Yes,02/27/2026,,100 to 499,MA,1,1
2026. 2. 27.,2026년 2월 27일,Eagle Point Logistics Inc,,Open,Yes,02/27/2026,,10 to 19,NJ,1,1
2026. 2. 27.,2026년 2월 27일,"Echelon Advisors, LLC",,Open,Yes,02/27/2026,,5 to 9,NJ,1,1
2026. 2. 27.,2026년 2월 27일,EdTheory LLC,,Open,Yes,02/27/2026,,100 to 499,CA,1,1
2026. 2. 27.,2026년 2월 27일,El Silverback Trucking LLC,EL SILVERBACK TRUCKING LLC,Open,Yes,02/27/2026,,5 to 9,CA,1,1
2026. 2. 27.,2026년 2월 27일,EMBER LOGISTICS LLC,,Open,No,02/27/2026,,20 to 99,OH,1,1
2026. 2. 27.,2026년 2월 27일,"Ember Relationship Labs, Inc.",Alura,Open,Yes,02/27/2026,,5 to 9,CA,1,1
2026. 2. 27.,2026년 2월 27일,"Emma Hospitality Group, L.L.C",,Open,No,02/19/2026,,100 to 499,TX,1,1
2026. 2. 27.,2026년 2월 27일,EPC Plant,Tronstar,Open,Yes,02/27/2026,,20 to 99,OH,2,1
2026. 2. 27.,2026년 2월 27일,EVERABODE PROPERTY MANAGEMENT I LLC,,Open,No,02/27/2026,,10 to 19,CA,1,1
2026. 2. 27.,2026년 2월 27일,Excalibur Research Development and Manufacturing LLC,,Open,No,02/27/2026,,10 to 19,TX,1,1
2026. 2. 27.,2026년 2월 27일,FAMILY ONE HOME HEALTH INC.,,Open,Yes,02/27/2026,,5 to 9,CA,1,1
2026. 2. 27.,2026년 2월 27일,Faughn Media,,Open,Yes,02/27/2026,,20 to 99,MO,1,1
2026. 2. 27.,2026년 2월 27일,Fear 2 Freedom Inc,Fear 2 Freedom,Open,Yes,02/27/2026,,5 to 9,VA,1,1
2026. 2. 27.,2026년 2월 27일,"FieldForce Workforce Solutions, INC.",,Open,Yes,02/27/2026,,100 to 499,OH,1,1
2026. 2. 27.,2026년 2월 27일,FORT WAYNE WASH INVESTMENTS LLC,,Open,No,02/27/2026,,10 to 19,IN,1,1
2026. 2. 27.,2026년 2월 27일,"Forward Wellness, Inc.",,Open,No,02/27/2026,,100 to 499,CA,1,1
2026. 2. 27.,2026년 2월 27일,"Foundation Steel, LLC",,Open,Yes,02/27/2026,,100 to 499,OH,1,1
2026. 2. 27.,2026년 2월 27일,Frontier Natural Products Co-op,,Open,No,02/27/2026,,500 to 999,IA,1,1
2026. 2. 27.,2026년 2월 27일,Frugal Heart LLC,Lion Bridge Brewing Company ,Open,Yes,02/27/2026,,10 to 19,IA,2,1
2026. 2. 27.,2026년 2월 27일,"G & S Electric, Inc.","G & S Electric, Inc.",Open,Yes,02/27/2026,,5 to 9,AZ,2,1
2026. 2. 27.,2026년 2월 27일,Galleon Embedded Computing LLC,,Open,No,02/27/2026,,5 to 9,GA,1,1
2026. 2. 27.,2026년 2월 27일,Gamers Glorified LLC,Gamers Glorified ,Open,Yes,02/27/2026,,10 to 19,IL,1,1
2026. 2. 27.,2026년 2월 27일,Gans Industries LLC WEB,,Open,No,02/23/2026,,5 to 9,AZ,1,1
2026. 2. 27.,2026년 2월 27일,"Generation Teach, Inc",,Open,No,02/27/2026,,5 to 9,MA,1,1
2026. 2. 27.,2026년 2월 27일,Global Emissionairy LLC,,Open,Yes,02/27/2026,,5 to 9,MD,1,1
2026. 2. 27.,2026년 2월 27일,"Global Quantum Intelligence, LLC",GQI,Open,Yes,02/27/2026,,10 to 19,FL,1,1
2026. 2. 27.,2026년 2월 27일,Gnome Games LLC,Gnome Games,Open,Yes,02/27/2026,,20 to 99,WI,3,1
2026. 2. 27.,2026년 2월 27일,Go2Market Insights,G2M Insights,Open,Yes,02/27/2026,,20 to 99,CO,1,1
2026. 2. 27.,2026년 2월 27일,Greater Raleigh Convention and Visitors Bureau,,Open,No,02/27/2026,,20 to 99,NC,1,1
2026. 2. 27.,2026년 2월 27일,Greenback Health Inc,,Open,No,02/20/2026,,10 to 19,OH,2,1
2026. 2. 27.,2026년 2월 27일,Grow In Grace Academy,,Open,Yes,02/27/2026,,5 to 9,FL,1,1
2026. 2. 27.,2026년 2월 27일,Hagerman Construction Corp,,Open,No,02/27/2026,,100 to 499,IN,1,1
2026. 2. 27.,2026년 2월 27일,Hair Zone,,Open,No,02/27/2026,,10 to 19,NJ,1,1
2026. 2. 27.,2026년 2월 27일,Hamilton Plastics Inc,,Open,No,02/27/2026,,100 to 499,TN,1,1
2026. 2. 27.,2026년 2월 27일,Hari Hara Hospitality LLC,,Open,Yes,02/27/2026,,5 to 9,GA,1,1
2026. 2. 27.,2026년 2월 27일,Henry Bros LLC,,Open,Yes,02/27/2026,,20 to 99,WY,1,1
2026. 2. 27.,2026년 2월 27일,"HHH Grading & Hauling, LLC",,Open,No,02/27/2026,,5 to 9,GA,1,1
2026. 2. 27.,2026년 2월 27일,"Hosea Feed the Hungry and Homeless, Inc.",Hosea Helps,Open,Yes,02/27/2026,,10 to 19,GA,1,1
2026. 2. 27.,2026년 2월 27일,"House of Caring Hands, Inc","House of Caring Hands, Inc",Open,Yes,02/27/2026,,10 to 19,NJ,1,1
2026. 2. 27.,2026년 2월 27일,Hudson Community School District,,Open,Yes,02/27/2026,,100 to 499,IA,1,1
2026. 2. 27.,2026년 2월 27일,HUGO MENTORS LLC,,Open,Yes,02/27/2026,,5 to 9,NY,1,1
2026. 2. 27.,2026년 2월 27일,Humane Society of Parkersburg WV,,Open,Yes,02/27/2026,,20 to 99,WV,1,1
2026. 2. 27.,2026년 2월 27일,Humane Society of the Lakes,,Open,No,02/27/2026,,20 to 99,MN,1,1
2026. 2. 27.,2026년 2월 27일,Ichigo Ichie Sweets,Ichigo Ichie Sweets,Open,Yes,02/27/2026,,5 to 9,CA,1,1
2026. 2. 27.,2026년 2월 27일,IJL US LLC,,Open,No,02/27/2026,,20 to 99,FL,1,1
2026. 2. 27.,2026년 2월 27일,Ikara Hospitality LLC,Ikara ,Open,Yes,02/27/2026,,20 to 99,GA,2,1
2026. 2. 27.,2026년 2월 27일,IM4 TRANSPORT LLC,,Open,Yes,02/27/2026,,5 to 9,TX,1,1
2026. 2. 27.,2026년 2월 27일,Impact Climate Technologies,,Open,No,02/27/2026,,500 to 999,GA,1,1
2026. 2. 27.,2026년 2월 27일,Infinity Assurance Group LLC,IAG Insurance Services,Open,Yes,02/27/2026,,20 to 99,CA,1,1
2026. 2. 27.,2026년 2월 27일,IT People Corporation,,Open,Yes,02/27/2026,,20 to 99,NC,1,1
2026. 2. 27.,2026년 2월 27일,JEMO CONTRACTOR LLC,,Open,Yes,02/27/2026,,20 to 99,TX,1,1
2026. 2. 27.,2026년 2월 27일,Jerry Seiner Valencia LLC,,Open,No,02/27/2026,,20 to 99,CA,1,1
2026. 2. 27.,2026년 2월 27일,"JK RESTAURANTS, LLC",,Open,No,02/27/2026,,20 to 99,SC,3,1
2026. 2. 27.,2026년 2월 27일,JMB of North Florida INC.,Centurion Cafe & Grill,Open,Yes,02/27/2026,,5 to 9,FL,1,1
2026. 2. 27.,2026년 2월 27일,JOHN BELL MERCOVA JOINT VENTURE LLC,,Open,Yes,02/27/2026,,20 to 99,FL,1,1
2026. 2. 27.,2026년 2월 27일,"John Michael Studio, LLC","John Michael Studio, LLC",Open,Yes,02/27/2026,,20 to 99,SC,1,1
2026. 2. 27.,2026년 2월 27일,"JOHNSON-MELLOH, INC.",,Open,No,02/27/2026,,100 to 499,IN,1,1
2026. 2. 27.,2026년 2월 27일,Kale Info Solutions Inc,,Open,No,02/27/2026,,10 to 19,GA,1,1
2026. 2. 27.,2026년 2월 27일,Kevin M Dunnican,,Open,No,02/27/2026,,5 to 9,CO,1,1
2026. 2. 27.,2026년 2월 27일,KIMBLE COMPANIES,KIMBLE COMPANIES ,Open,Yes,02/27/2026,,500 to 999,OH,1,1
2026. 2. 27.,2026년 2월 27일,"Kline Hospitality, LLC",,Open,No,01/23/2026,,100 to 499,UT,17,1
2026. 2. 27.,2026년 2월 27일,Laurens Institute For Education Inc,Laurens Institute For Education Inc,Open,Yes,02/27/2026,,100 to 499,AZ,1,1
2026. 2. 27.,2026년 2월 27일,Law Office of Gem McDowell PA,,Open,Yes,02/27/2026,,5 to 9,SC,1,1
2026. 2. 27.,2026년 2월 27일,LEAKPROOF PIPING SYSTEM INC.,,Open,No,02/27/2026,,10 to 19,AZ,1,1
2026. 2. 27.,2026년 2월 27일,LeapXpert Inc.,,Open,No,02/27/2026,,20 to 99,NY,2,1
2026. 2. 27.,2026년 2월 27일,Lee Kesler Roofing,Lee Kesler Roofing,Open,Yes,02/27/2026,,10 to 19,VA,1,1
2026. 2. 27.,2026년 2월 27일,"Legacy Brands, LLC",Ritas Italian Ice and Custard,Open,Yes,02/27/2026,,5 to 9,AL,1,1
2026. 2. 27.,2026년 2월 27일,"LIFE INNOVATORS, LLC",,Open,No,02/27/2026,,10 to 19,NC,1,1
2026. 2. 27.,2026년 2월 27일,Little Waisted LLC,Bakery Bling ,Open,Yes,02/27/2026,,20 to 99,OK,1,1
2026. 2. 27.,2026년 2월 27일,Long Fellas Holdings Inc.,DAV Thrift Stores,Open,Yes,02/27/2026,,100 to 499,VA,1,1
2026. 2. 27.,2026년 2월 27일,"Long Island Labs, LLC",Long Island Labs,Open,Yes,02/27/2026,,10 to 19,NY,1,1
2026. 2. 27.,2026년 2월 27일,Los Angeles Tennis Club,,Open,No,02/27/2026,,20 to 99,CA,1,1
2026. 2. 27.,2026년 2월 27일,LOTUS TECHNOLOGY MANAGEMENT LP,,Open,No,02/27/2026,,100 to 499,"CA,CO,FL,MA,NY,OH",30,1
2026. 2. 27.,2026년 2월 27일,"LTE, LLC",,Open,Yes,02/27/2026,,10 to 19,GA,1,1
2026. 2. 27.,2026년 2월 27일,"Ludlow Center for Health and Rehabilitation, LLC","Ludlowe Center for Health and Rehabilitation, LLC",Open,Yes,02/27/2026,,100 to 499,CT,1,1
2026. 2. 27.,2026년 2월 27일,"Luxury Pet Hotel Investments, LLC",K9 Resorts ,Open,Yes,02/27/2026,,100 to 499,"AZ,CA,CT,FL,IL,NJ,OH,PA",15,1
2026. 2. 27.,2026년 2월 27일,Machinery Tending Solutions Inc SDMS Robotics,,Open,No,02/27/2026,,100 to 499,CA,1,1
2026. 2. 27.,2026년 2월 27일,Madison County School Board,Madison County School Board,Open,Yes,02/27/2026,,100 to 499,FL,1,1
2026. 2. 27.,2026년 2월 27일,"Magneto Inertial Fusion Technologies, Inc.",,Open,Yes,02/27/2026,,5 to 9,CA,1,1
2026. 2. 27.,2026년 2월 27일,Maharaj Krupa LLC,,Open,No,02/27/2026,,20 to 99,TN,1,1
2026. 2. 27.,2026년 2월 27일,"Maine Medical Consultants, PC",,Open,Yes,02/27/2026,,20 to 99,ME,1,1
2026. 2. 27.,2026년 2월 27일,Mama Annies Home Health Care LLC,,Open,Yes,02/27/2026,,5 to 9,IN,1,1
2026. 2. 27.,2026년 2월 27일,Mandala Entertainment LLC,,Open,No,02/27/2026,,20 to 99,FL,1,1
2026. 2. 27.,2026년 2월 27일,Maria Luisa Lira,Pediatrics,Open,Yes,02/27/2026,,10 to 19,TX,1,1
2026. 2. 27.,2026년 2월 27일,"Marker, Inc.",Marker Construction,Open,Yes,02/27/2026,,100 to 499,OH,2,1
2026. 2. 27.,2026년 2월 27일,MC Custom Painting LLC,,Open,Yes,02/27/2026,,5 to 9,AZ,1,1
2026. 2. 27.,2026년 2월 27일,"Memory Check Psychological Services, PC",CHE Behavioral Health Services,Open,Yes,02/27/2026,,20 to 99,CA,1,1
2026. 2. 27.,2026년 2월 27일,Method Marketing LLC,,Open,Yes,02/27/2026,,5 to 9,NC,1,1
2026. 2. 27.,2026년 2월 27일,Methuen Public Schools,,Open,Yes,02/27/2026,,"1,000 to 2,499",MA,1,1
2026. 2. 27.,2026년 2월 27일,MK DISTRIBUTORS LLC,,Open,Yes,02/27/2026,,5 to 9,VA,1,1
2026. 2. 27.,2026년 2월 27일,MK Elevated LLC,Let Mommy Sleep Southern California,Open,Yes,02/27/2026,,20 to 99,NV,2,1
2026. 2. 27.,2026년 2월 27일,"Molded Dimensions, LLC",Molded Dimensions Group,Open,Yes,02/27/2026,,100 to 499,WI,1,1
2026. 2. 27.,2026년 2월 27일,Munson of Hainesport Wings GO LLC,,Open,No,02/27/2026,,10 to 19,NJ,1,1
2026. 2. 27.,2026년 2월 27일,Myers Assessment and Therapeutic Services,,Open,Yes,02/27/2026,,20 to 99,GA,1,1
2026. 2. 27.,2026년 2월 27일,Mytility Corp,,Open,Yes,02/27/2026,,20 to 99,"CA,TX",3,1
2026. 2. 27.,2026년 2월 27일,"Nabi Health, Inc.",,Open,Yes,02/27/2026,,5 to 9,"CA,DE",2,1
2026. 2. 27.,2026년 2월 27일,"Native Timberworks Carpentry and Design, LLC","Native Timberworks, LLC",Open,Yes,02/27/2026,,5 to 9,NH,1,1
2026. 2. 27.,2026년 2월 27일,Navi Title Agency,,Open,No,02/27/2026,,100 to 499,AZ,1,1
2026. 2. 27.,2026년 2월 27일,"NCN Management, LLC",CHE Behavioral Health Services,Open,Yes,02/10/2026,,20 to 99,NY,1,1
2026. 2. 27.,2026년 2월 27일,"NeuCyte, Inc","NeuCyte, Inc.",Open,No,02/27/2026,,5 to 9,CA,1,1
2026. 2. 27.,2026년 2월 27일,"New Start Treatment-MVILLE, LLC","New Start Treatment-MVILLE, LLC",Open,Yes,02/27/2026,,5 to 9,GA,1,1
2026. 2. 27.,2026년 2월 27일,Nexus Professionals,,Open,Yes,02/27/2026,,20 to 99,CA,1,1
2026. 2. 27.,2026년 2월 27일,"Niagara Transformer Corporation, LLC",Niagara Transformer,Open,Yes,02/27/2026,,20 to 99,NY,1,1
2026. 2. 27.,2026년 2월 27일,"NJ Behavioral Health, PC",CHE Behavioral Health Services,Open,Yes,02/27/2026,,20 to 99,NJ,1,1
2026. 2. 27.,2026년 2월 27일,"NOBULL, LLC",,Open,No,02/27/2026,,100 to 499,MA,1,1
2026. 2. 27.,2026년 2월 27일,Nocona Hospital District,Advanced Rehab and Healthcare of Bowie,Open,Yes,02/27/2026,,100 to 499,TX,1,1
2026. 2. 27.,2026년 2월 27일,NORTHBRIDGE FX LLC,,Open,No,02/27/2026,,500 to 999,FL,1,1
2026. 2. 27.,2026년 2월 27일,Norton Packaging Inc.,,Open,Yes,02/27/2026,,100 to 499,CA,1,1
2026. 2. 27.,2026년 2월 27일,Nova Recovery Center,,Open,No,01/09/2026,03/30/2026,20 to 99,TX,1,1
2026. 2. 27.,2026년 2월 27일,"Omega 3 Nutrition, Inc.",Omega 3 Nutrition,Open,Yes,02/27/2026,,10 to 19,MD,1,1
2026. 2. 27.,2026년 2월 27일,Omega transitional services LLC,,Open,Yes,02/27/2026,,10 to 19,LA,1,1
2026. 2. 27.,2026년 2월 27일,Open Road Collision LLC,,Open,No,02/27/2026,,500 to 999,AZ,1,1
2026. 2. 27.,2026년 2월 27일,Optronics International LLC,,Open,No,02/27/2026,,20 to 99,"IN,OK",2,1
2026. 2. 27.,2026년 2월 27일,Origin Research Limited,,Open,No,02/27/2026,,20 to 99,"FL,NY",2,1
2026. 2. 27.,2026년 2월 27일,Owen Plumbing Inc,,Open,Yes,02/27/2026,,5 to 9,GA,1,1
2026. 2. 27.,2026년 2월 27일,"Panacea Lending, LLC",,Open,Yes,02/27/2026,,5 to 9,TX,1,1
2026. 2. 27.,2026년 2월 27일,Partners For Achievement LLC,HelloCollege,Open,Yes,02/27/2026,,20 to 99,IL,1,1
2026. 2. 27.,2026년 2월 27일,"Pathlight Learning, Inc.",,Open,No,02/27/2026,,5 to 9,OK,1,1
2026. 2. 27.,2026년 2월 27일,Peacock Products Inc.,,Open,Yes,02/27/2026,,20 to 99,NJ,1,1
2026. 2. 27.,2026년 2월 27일,"Pedago Holdings, Inc.",,Open,No,02/27/2026,,20 to 99,DC,1,1
2026. 2. 27.,2026년 2월 27일,Pedros Locust Grove CO,Pedros Mexican Grill & Cantina,Open,Yes,02/27/2026,,10 to 19,GA,1,1
2026. 2. 27.,2026년 2월 27일,Peltier Longview Inc,,Open,No,02/27/2026,,20 to 99,TX,1,1
2026. 2. 27.,2026년 2월 27일,Perez Painting and Finishing LLC,,Open,No,02/27/2026,,100 to 499,NM,1,1
2026. 2. 27.,2026년 2월 27일,PHG ADVISORY LLC,,Open,No,02/27/2026,,5 to 9,NY,1,1
2026. 2. 27.,2026년 2월 27일,Pinecrest SNF Operations LLC,,Open,No,02/27/2026,,500 to 999,NJ,1,1
2026. 2. 27.,2026년 2월 27일,"Pink Head Records, LLC",,Open,No,02/27/2026,,5 to 9,CA,1,1
2026. 2. 27.,2026년 2월 27일,"PJBWR, INC",Chick-fil-A Warner Robins,Open,Yes,02/27/2026,,100 to 499,GA,4,1
2026. 2. 27.,2026년 2월 27일,POD Holdings LLC,Vinyl Status,Open,Yes,02/27/2026,,5 to 9,WA,1,1
2026. 2. 27.,2026년 2월 27일,Pooled Impact,,Open,Yes,02/27/2026,,5 to 9,MI,1,1
2026. 2. 27.,2026년 2월 27일,"POST ASPHALT, LLC",,Open,No,02/27/2026,,20 to 99,UT,1,1
2026. 2. 27.,2026년 2월 27일,Premier Expediters Inc,,Open,No,02/27/2026,,10 to 19,GA,1,1
2026. 2. 27.,2026년 2월 27일,Prezent Inc.,,Open,No,02/27/2026,,500 to 999,CA,1,1
2026. 2. 27.,2026년 2월 27일,Primis Talent inc,,Open,No,02/27/2026,,5 to 9,NY,1,1
2026. 2. 27.,2026년 2월 27일,PROMETHEAN IT LTD,,Open,No,02/27/2026,,5 to 9,NY,1,1
2026. 2. 27.,2026년 2월 27일,"Prophet Network Integration, Inc.",,Open,Yes,02/27/2026,,10 to 19,AZ,1,1
2026. 2. 27.,2026년 2월 27일,"Public Safety Towers, LLC",,Open,Yes,02/27/2026,,10 to 19,CA,1,1
2026. 2. 27.,2026년 2월 27일,Puppy Prep NJ LLC,Puppy Prep,Open,Yes,02/27/2026,,5 to 9,NJ,1,1
2026. 2. 27.,2026년 2월 27일,PWSD No 1 of McDonald County,,Open,Yes,02/27/2026,,5 to 9,MO,1,1
2026. 2. 27.,2026년 2월 27일,"Quality Land Management, Inc",,Open,Yes,02/27/2026,,20 to 99,TN,1,1
2026. 2. 27.,2026년 2월 27일,Quince Orchard Psychotherapy,Orchard Mental Health Group,Open,Yes,02/27/2026,,20 to 99,MD,1,1
2026. 2. 27.,2026년 2월 27일,Rapid Engineering,,Open,No,02/27/2026,,20 to 99,MI,1,1
2026. 2. 27.,2026년 2월 27일,"Rehabilitation Associates, PC",,Open,Yes,02/27/2026,,20 to 99,ME,1,1
2026. 2. 27.,2026년 2월 27일,Residential Section of 685 Fifth Ave Condominimums,Mandarin Oriental Residences Fifth Avenue,Open,Yes,02/27/2026,,10 to 19,NY,1,1
2026. 2. 27.,2026년 2월 27일,Resolve IT LLC,Resolve IT Computers,Open,Yes,02/27/2026,,5 to 9,MO,1,1
2026. 2. 27.,2026년 2월 27일,"Retail & Hospitality Information Sharing & Analysis Center, Inc",,Open,No,02/27/2026,,20 to 99,VA,1,1
2026. 2. 27.,2026년 2월 27일,River City Windows,,Open,Yes,02/27/2026,,10 to 19,CA,1,1
2026. 2. 27.,2026년 2월 27일,river city windows,,Open,Yes,02/27/2026,,10 to 19,CA,1,1
2026. 2. 27.,2026년 2월 27일,"RKJ & Sons, LLC",,Open,No,02/27/2026,,500 to 999,"AL,GA",26,1
2026. 2. 27.,2026년 2월 27일,"ROAMSTROLL TRADING CO., LTD.",,Open,Yes,02/27/2026,,5 to 9,NY,1,1
2026. 2. 27.,2026년 2월 27일,ROPK HOLDINGS INCORPORATED,,Open,No,02/27/2026,,20 to 99,FL,1,1
2026. 2. 27.,2026년 2월 27일,Ruhlin-Great Lakes SR8 Joint Venture,,Open,No,02/27/2026,,20 to 99,OH,1,1
2026. 2. 27.,2026년 2월 27일,Ruhlin/Shelly & Sands Akron Beltway JV,,Open,No,02/27/2026,,20 to 99,OH,1,1
2026. 2. 27.,2026년 2월 27일,S. Affatato Asphalt Paving Inc.,,Open,Yes,02/27/2026,,10 to 19,NY,1,1
2026. 2. 27.,2026년 2월 27일,Safe Choice Tree Service,Safe Choice Tree Service ,Open,Yes,02/27/2026,,5 to 9,FL,1,1
2026. 2. 27.,2026년 2월 27일,SAFE SHIP LOGISTICS LLC,,Open,No,02/12/2026,,20 to 99,NJ,1,1
2026. 2. 27.,2026년 2월 27일,SALTY ENGINEERING LLC,,Open,No,02/27/2026,,10 to 19,FL,1,1
2026. 2. 27.,2026년 2월 27일,Samsung C&T America Inc.,,Open,Yes,02/27/2026,,100 to 499,"CA,IL,NJ,TX",6,1
2026. 2. 27.,2026년 2월 27일,San Francisco Compute Company,San Francisco Compute Company,Open,No,02/27/2026,,20 to 99,CA,1,1
2026. 2. 27.,2026년 2월 27일,"Sanders Solutions #1, LLC",,Open,Yes,02/27/2026,,5 to 9,LA,1,1
2026. 2. 27.,2026년 2월 27일,SB&A Architects,,Open,Yes,02/27/2026,,10 to 19,IA,1,1
2026. 2. 27.,2026년 2월 27일,SC Design Group,,Open,Yes,02/27/2026,,5 to 9,CA,1,1
2026. 2. 27.,2026년 2월 27일,Schaffer Plumbing Inc,Schaffer Plumbing Inc,Open,Yes,02/27/2026,,20 to 99,TN,1,1
2026. 2. 27.,2026년 2월 27일,"Schwarz Partners Packaging, LLC",The Royal Group,Open,Yes,02/27/2026,,100 to 499,OH,1,1
2026. 2. 27.,2026년 2월 27일,Seabaughs Custom Wood Floors INC,Quality Wood Floors,Open,Yes,02/27/2026,,5 to 9,MO,1,1
2026. 2. 27.,2026년 2월 27일,"Serent Capital Management Company, LLC",Serent Capital,Open,Yes,02/27/2026,,20 to 99,"CA,TX",2,1
2026. 2. 27.,2026년 2월 27일,SERGIOS CANTINA LLC,,Open,No,02/27/2026,,20 to 99,HI,1,1
2026. 2. 27.,2026년 2월 27일,Servants Heart home Health Services Inc,,Open,No,02/27/2026,,20 to 99,IN,1,1
2026. 2. 27.,2026년 2월 27일,Serviam Enterprise Holdings LLC,,Open,No,02/27/2026,,5 to 9,MO,1,1
2026. 2. 27.,2026년 2월 27일,SHIFT HOLDING COMPANY LLC,,Open,No,02/27/2026,,10 to 19,IA,1,1
2026. 2. 27.,2026년 2월 27일,Shoppas Farm Supply Inc,,Open,No,02/27/2026,,100 to 499,TX,1,1
2026. 2. 27.,2026년 2월 27일,SKL Holdings,,Open,Yes,02/27/2026,,20 to 99,PA,1,1
2026. 2. 27.,2026년 2월 27일,Soliddd Corp.,,Open,Yes,02/27/2026,,5 to 9,NY,1,1
2026. 2. 27.,2026년 2월 27일,Spec-Tex Inc.,,Open,Yes,02/27/2026,,5 to 9,FL,1,1
2026. 2. 27.,2026년 2월 27일,Specialized Fire & Security Inc.,Specialized Fire & Security Inc.,Open,Yes,02/27/2026,,20 to 99,NJ,1,1
2026. 2. 27.,2026년 2월 27일,"Spectra A&D Acquisition, Inc.",,Open,No,02/27/2026,,10 to 19,GA,1,1
2026. 2. 27.,2026년 2월 27일,Speranza-Estero Investment Group LLC,The Goddard School of Estero,Open,No,02/27/2026,,10 to 19,FL,1,1
2026. 2. 27.,2026년 2월 27일,"SPOTSWOOD, COTTON & WELSH INC",,Open,Yes,02/27/2026,,10 to 19,GA,1,1
2026. 2. 27.,2026년 2월 27일,Springfield Urban League Inc.,,Open,Yes,02/27/2026,,100 to 499,IL,1,1
2026. 2. 27.,2026년 2월 27일,Star Diversified Inc,TerraForm,Open,Yes,02/27/2026,,5 to 9,NC,1,1
2026. 2. 27.,2026년 2월 27일,STATE OF ILLINOIS-DEPARTMENT OF MILITARY AFFAIRS,,Open,Yes,02/27/2026,,100 to 499,IL,1,1
2026. 2. 27.,2026년 2월 27일,"StateStreet Group, LLC",,Open,Yes,02/27/2026,,20 to 99,MS,1,1
2026. 2. 27.,2026년 2월 27일,"STEEL CITY SCAFFOLDING OF PITTSBURGH, LLC","STEEL CITY SCAFFOLDING OF PITTSBURGH, LLC",Open,Yes,02/27/2026,,10 to 19,PA,1,1
2026. 2. 27.,2026년 2월 27일,"Stella O. Nnadi, D.M.D., P.A.",Holistic Dental: Stella O. Nnadi DMD,Open,Yes,02/27/2026,,5 to 9,NC,1,1
2026. 2. 27.,2026년 2월 27일,Storeforce Solutions USA INC,,Open,No,02/27/2026,,5 to 9,DE,1,1
2026. 2. 27.,2026년 2월 27일,Stretchs Well Service Inc,,Open,No,02/27/2026,,20 to 99,SD,1,1
2026. 2. 27.,2026년 2월 27일,Suika Standard LLC,HEYTEA SOUTH LAKE UNION,Open,Yes,02/27/2026,,20 to 99,WA,1,1
2026. 2. 27.,2026년 2월 27일,Sunshine Primary Care LLC,Medical Practice,Open,Yes,02/27/2026,,10 to 19,FL,2,2
2026. 2. 27.,2026년 2월 27일,"Supabase, Inc",,Open,No,02/27/2026,,20 to 99,"CA,DE",2,1
2026. 2. 27.,2026년 2월 27일,"Supra America Machined Parts, LLC",,Open,No,02/27/2026,,10 to 19,TX,1,1
2026. 2. 27.,2026년 2월 27일,"T & G Global, LLC",St. Nicks Christmas Lighting and Decor,Open,Yes,02/27/2026,,20 to 99,CA,1,1
2026. 2. 27.,2026년 2월 27일,"T&G Global, LLC",St. Nicks Christmas Lighting and Decor,Open,Yes,02/27/2026,,20 to 99,CA,1,1
2026. 2. 27.,2026년 2월 27일,TacFleet Security LLC,TacFleet Security,Open,Yes,02/27/2026,,20 to 99,CA,1,1
2026. 2. 27.,2026년 2월 27일,Tamarac SNF Operations LLC,,Open,No,02/27/2026,,500 to 999,NJ,1,1
2026. 2. 27.,2026년 2월 27일,"Task Force Protection Services, LLC",Task Force Protection ,Open,Yes,02/27/2026,,20 to 99,MS,1,1
2026. 2. 27.,2026년 2월 27일,TC 3240 N University LLC,,Open,No,02/27/2026,,20 to 99,FL,1,1
